ID	H01.metaphlan2.profile	H02.metaphlan2.profile	H03.metaphlan2.profile	H04.metaphlan2.profile	H05.metaphlan2.profile	H06.metaphlan2.profile	H07.metaphlan2.profile	H08.metaphlan2.profile	H09.metaphlan2.profile	H10.metaphlan2.profile	H11.metaphlan2.profile	H12.metaphlan2.profile	H13.metaphlan2.profile	P01.metaphlan2.profile	P02.metaphlan2.profile	P03.metaphlan2.profile	P04.metaphlan2.profile	P05.metaphlan2.profile	P06.metaphlan2.profile	P07.metaphlan2.profile	P08.metaphlan2.profile	P09.metaphlan2.profile	P10.metaphlan2.profile	P11.metaphlan2.profile	P12.metaphlan2.profile	P13.metaphlan2.profile	P14.metaphlan2.profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria|t__Rothia_aeria_unclassified	0.15453	0.74143	1.71823	3.4483	0.71378	1.68215	0.89439	1.5481	5.23252	0.09895	1.1089	2.4037	0.0	0.09696	0.11823	0.00847	0.52412	1.63948	0.26435	0.21986	0.0	0.98782	0.89912	2.38655	0.01973	3.58374	0.21744
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.02636	1.11993	0.89337	4.71007	0.57373	0.28124	0.85343	8.82249	2.78319	0.0	2.46668	0.6313	0.23551	2.16808	0.42154	0.55895	1.43624	1.49409	0.58459	0.11479	0.59651	1.93707	0.25493	0.81701	0.01913	5.71944	0.05752
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa|t__GCF_000143585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa|t__Rothia_dentocariosa_unclassified	0.02636	1.11993	0.89337	4.71007	0.57373	0.28124	0.85343	5.984	2.78319	0.0	2.46668	0.6313	0.23551	2.16808	0.42154	0.55895	0.92976	1.49409	0.58459	0.11479	0.59651	1.93707	0.25493	0.81701	0.01913	5.71944	0.05752
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	13.21369	16.72353	20.19945	18.84303	36.0853	15.33853	30.15221	8.87921	24.00918	46.85095	28.05956	13.65135	25.82016	8.37331	2.29641	4.10663	15.40118	10.46211	15.52465	5.74236	1.57222	5.5719	2.41052	18.78174	15.44627	18.08612	19.58896
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified	13.21369	16.72353	20.19945	18.84303	36.0853	15.33853	30.15221	8.87921	24.00918	46.85095	28.05956	13.65135	25.82016	8.37331	2.29641	4.10663	15.40118	10.46211	15.52465	5.74236	1.57222	5.5719	2.41052	18.78174	15.44627	18.08612	19.58896
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.11398	0.0	0.05653	0.0	0.0	0.0	0.01706	0.0	0.02206	0.0	0.0	0.0	0.0	0.00914	0.0	0.03607	0.21371	0.13055	0.137	0.06107	0.0	0.0	0.34343	0.15596	0.00455	0.0	0.31086
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.11398	0.0	0.05653	0.0	0.0	0.0	0.01706	0.0	0.02206	0.0	0.0	0.0	0.0	0.00914	0.0	0.03607	0.21371	0.13055	0.137	0.06107	0.0	0.0	0.34343	0.15596	0.00455	0.0	0.31086
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00853	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00853	0.0	0.0	0.0
